,manufacturer,model_name,variant_name,manufacturing_year,showroom_price,fuel_type,engine_capacity_cc,body_type,seating_capacity,transmission,power_bhp,torque_nm,mileage_kmpl,safety_rating,features
154,Audi,A6,A6,2025,₹66.05 - 72.43 Lakh,Petrol,1984.0,Sedan,5.0,Automatic,241.3 bhp,400 Nm,14.11 kmpl,5 Star,"Matrix LED headlights, Bang & Olufsen sound system, Advanced driver assistance systems"
155,Audi,Q5,Q5,2025,₹68 - 73.79 Lakh,Petrol,1984.0,SUV,5.0,Automatic,245.59 bhp,400 Nm,13.47 kmpl,5 Star,"Quattro all-wheel drive, Adaptive air suspension, Virtual cockpit"
156,Audi,Q8,Q8,2025,₹1.17 Cr,Petrol,2995.0,SUV,5.0,Automatic,335 bhp,500 Nm,10 kmpl,5 Star,"Luxury interior, Advanced infotainment system, 360-degree camera"
157,Audi,RS Q8,RS Q8,2025,₹2.49 Cr,Petrol,3998.0,SUV,5.0,Automatic,632 bhp,850 Nm,9 kmpl,5 Star,"Sporty design, High-performance engine, Advanced safety features"
158,Audi,Q3 Sportback,Q3 Sportback,2025,₹56.24 - 56.94 Lakh,Petrol,1984.0,SUV,5.0,Automatic,187.74 bhp,320 Nm,10.14 kmpl,5 Star,"Sporty design, Virtual cockpit, Panoramic sunroof"
159,Audi,RS e-tron GT,RS e-tron GT,2025,₹2.05 Cr,Electric,0.0,Coupé,5.0,Automatic,636.98 bhp,850 Nm,,5 Star,"High-performance electric motor, Advanced infotainment system, Sporty design"
160,Audi,e-tron GT,e-tron GT,2025,₹1.72 Cr,Electric,0.0,Coupé,5.0,Automatic,522.99 bhp,640 Nm,,5 Star,"Luxury interior, Advanced safety features, High-performance electric motor"
161,Audi,Q8 e-tron,Q8 e-tron,2025,₹1.15 - 1.27 Cr,Electric,0.0,SUV,5.0,Automatic,402.3 bhp,660 Nm,,5 Star,"Long electric range, Luxury interior, Advanced safety features"
162,Audi,Q8 Sportback e-tron,Q8 Sportback e-tron,2025,₹1.19 - 1.32 Cr,Electric,0.0,SUV,5.0,Automatic,402.3 bhp,660 Nm,,5 Star,"Sporty design, Long electric range, Advanced safety features"
163,Audi,S5 Sportback,S5 Sportback,2025,₹77.77 - 85.10 Lakh,Petrol,2994.0,Coupé,5.0,Automatic,348.66 bhp,500 Nm,10.6 kmpl,5 Star,"Sporty design, High-performance engine, Luxury interior"
164,MG,Windsor EV,Windsor EV,2025,₹14 - 18.31 Lakh,Electric,0.0,Hatchback,5.0,Automatic,134 bhp,,,5 Star,"Electric, Automatic, 449 km range, 52.9 kWh battery, 6 Airbags"
165,MG,Hector,Hector,2025,₹14.25 - 23.14 Lakh,Diesel/Petrol,1956.0,SUV,5.0,Manual/Automatic,167.67 bhp,,15.58 kmpl,5 Star,"Diesel/Petrol, 15.58 kmpl, Manual/Automatic, 5 Star Safety"
166,MG,Comet EV,Comet EV,2025,₹7.50 - 10 Lakh,Electric,0.0,Hatchback,4.0,Automatic,41.42 bhp,,,,"Electric, Automatic, 230 km range, 17.4 kWh battery, 2 Airbags"
167,MG,M9,M9,2025,₹69.90 Lakh,Electric,0.0,SUV,7.0,Automatic,242 bhp,,,7 Airbags,"Electric, Automatic, 548 km range, 90 kWh battery, 7 Airbags"
168,MG,Cyberster,Cyberster,2025,₹75 Lakh,Electric,0.0,Convertible,2.0,Automatic,503 bhp,,,4 Airbags,"Electric, Automatic, 580 km range, 77 kWh battery, 4 Airbags"
169,MG,Astor,Astor,2025,₹11.30 - 17.56 Lakh,Petrol,1498.0,SUV,5.0,Manual/Automatic,108.49 bhp,,15.43 kmpl,5 Star,"Petrol, 15.43 kmpl, Manual/Automatic, 5 Star Safety"
170,MG,Gloster,Gloster,2025,₹41.05 - 46.24 Lakh,Diesel,1996.0,SUV,6.0,Automatic,212.55 bhp,,10 kmpl,,"Diesel, 10 kmpl, Automatic, 6, 7 Seats"
171,MG,ZS EV,ZS EV,2025,₹17.99 - 20.50 Lakh,Electric,0.0,SUV,5.0,Automatic,174.33 bhp,,,5 Star,"Electric, Automatic, 461 km range, 50.3 kWh battery, 6 Airbags"
172,MG,Hector Plus,Hector Plus,2025,₹17.50 - 23.94 Lakh,Diesel/Petrol,1956.0,SUV,5.0,Manual/Automatic,167.67 bhp,,15.58 kmpl,5 Star,"Diesel/Petrol, 15.58 kmpl, Manual/Automatic, 5 Star Safety"
173,Mahindra,Scorpio,Scorpio,2025,₹13.77 - 17.72 Lakh,Diesel,2184.0,SUV,7.0,Manual,130,330 Nm,14.44,4 Star,"7-9 Seats, Diesel, 14.44 kmpl, Manual Transmission"
174,Mahindra,Thar ROXX,Thar ROXX,2025,₹12.99 - 23.39 Lakh,Diesel/Petrol,2184.0,SUV,5.0,Manual/Automatic,174,320 Nm,15.2,4 Star,"5 Seats, Diesel/Petrol, 15.2 kmpl, Manual/Automatic Transmission"
175,Mahindra,XUV700,XUV700,2025,₹14.49 - 25.14 Lakh,Diesel/Petrol,2198.0,SUV,5.0,Manual/Automatic,197,450 Nm,17,5 Star,"5 Seats, Diesel/Petrol, 17 kmpl, Manual/Automatic Transmission"
176,Mahindra,Scorpio N,Scorpio N,2025,₹13.99 - 25.15 Lakh,Diesel/Petrol,2198.0,SUV,5.0,Manual/Automatic,200,370 Nm,15.94,5 Star,"5 Seats, Diesel/Petrol, 15.94 kmpl, Manual/Automatic Transmission"
177,Mahindra,Bolero,Bolero,2025,₹9.81 - 10.93 Lakh,Diesel,1493.0,SUV,7.0,Manual,75,210 Nm,16,1 Star,"7 Seats, Diesel, 16 kmpl, Manual Transmission"
178,Mahindra,XUV 3XO,XUV 3XO,2025,₹7.99 - 15.80 Lakh,Diesel/Petrol,1498.0,SUV,5.0,Manual/Automatic,128.73,300 Nm,20.6,5 Star,"5 Seats, Diesel/Petrol, 20.6 kmpl, Manual/Automatic Transmission"
179,Mahindra,Thar,Thar,2025,₹11.50 - 17.62 Lakh,Diesel/Petrol,2184.0,SUV,4.0,Manual/Automatic,150.19,300 Nm,8,4 Star,"4 Seats, Diesel/Petrol, 8 kmpl, Manual/Automatic Transmission"
180,Mahindra,BE 6,BE 6,2025,₹18.90 - 27.65 Lakh,Electric,0.0,SUV,5.0,Automatic,282,0 Nm,,5 Star,"5 Seats, Electric, 683 km range, Automatic Transmission"
181,Mahindra,XEV 9e,XEV 9e,2025,₹21.90 - 31.25 Lakh,Electric,0.0,SUV,5.0,Automatic,282,0 Nm,,5 Star,"5 Seats, Electric, 656 km range, Automatic Transmission"
182,Mahindra,Bolero Neo,Bolero Neo,2025,₹9.97 - 12.18 Lakh,Diesel,1493.0,SUV,5.0,Manual,98.56,240 Nm,17.29,1 Star,"5 Seats, Diesel, 17.29 kmpl, Manual Transmission"
183,Mahindra,Bolero Camper,Bolero Camper,2025,₹10.41 - 10.76 Lakh,Diesel,2523.0,Pickup,5.0,Manual,75.09,220 Nm,16,,"5 Seats, Diesel, 16 kmpl, Manual Transmission"
184,Mahindra,Marazzo,Marazzo,2025,₹14.59 - 17 Lakh,Diesel,1497.0,MUV,7.0,Manual,120.96,300 Nm,17.3,4 Star,"7 Seats, Diesel, 17.3 kmpl, Manual Transmission"
185,Mahindra,XUV400 EV,XUV400 EV,2025,₹15.49 - 17.69 Lakh,Electric,0.0,SUV,5.0,Automatic,149.55,0 Nm,,,"5 Seats, Electric, 456 km range, Automatic Transmission"
186,Mahindra,Bolero Neo Plus,Bolero Neo Plus,2025,₹11.41 - 12.51 Lakh,Diesel,2184.0,SUV,9.0,Manual,118.35,300 Nm,14,,"9 Seats, Diesel, 14 kmpl, Manual Transmission"
187,Mahindra,Bolero Pik-Up,Bolero Pik-Up,2025,₹9.70 - 10.59 Lakh,Diesel,2523.0,Pickup,2.0,Manual,75.09,220 Nm,14.3,,"2 Seats, Diesel, 14.3 kmpl, Manual Transmission"
188,Kia,Seltos,Kia Seltos,2025,₹11.19 - 20.56 Lakh,Diesel/Petrol,1497.0,SUV,5.0,Manual/Automatic,157.81,,20.7,3 Star,"Diesel/Petrol, 20.7 kmpl, Manual/Automatic"
189,Kia,Sonet,Kia Sonet,2025,₹8 - 15.64 Lakh,Diesel/Petrol,1493.0,SUV,5.0,Manual/Automatic,118,,24.1,,"Diesel/Petrol, 24.1 kmpl, Manual/Automatic"
190,Kia,Carens,Kia Carens,2025,₹11.41 - 13.16 Lakh,Diesel/Petrol,1497.0,MUV,5.0,Manual,157.81,,12.6,3 Star,"Diesel/Petrol, 12.6 kmpl, Manual"
191,Kia,Syros,Kia Syros,2025,₹9.50 - 17.80 Lakh,Diesel/Petrol,1493.0,SUV,5.0,Manual/Automatic,118,,20.75,,"Diesel/Petrol, 20.75 kmpl, Manual/Automatic"
192,Kia,Carens Clavis,Kia Carens Clavis,2025,₹11.50 - 21.50 Lakh,Diesel/Petrol,1497.0,MUV,6.0,Manual/Automatic,157.57,,19.54,,"Diesel/Petrol, 19.54 kmpl, Manual/Automatic"
193,Kia,Carnival,Kia Carnival,2025,₹63.91 Lakh,Diesel,2151.0,MUV,7.0,Automatic,190,,14.85,,"Diesel, 14.85 kmpl, Automatic"
194,Kia,Carens Clavis EV,Kia Carens Clavis EV,2025,₹17.99 - 24.49 Lakh,Electric,0.0,MUV,7.0,Automatic,169,,,,"Electric, 490 km, Automatic"
195,Kia,EV6,Kia EV6,2025,₹65.97 Lakh,Electric,0.0,SUV,5.0,Automatic,321,,,,"Electric, 663 km, Automatic"
196,Kia,EV9,Kia EV9,2025,₹1.30 Cr,Electric,0.0,SUV,6.0,Automatic,379,,,,"Electric, 561 km, Automatic"
197,Maruti Suzuki,Swift,Swift,2025,₹6.49 - 9.64 Lakh,Petrol/CNG,1197.0,Hatchback,5.0,Manual/Automatic,80.46 bhp,113 Nm,25.75 kmpl,4 Star,"Petrol/CNG, 25.75 kmpl, Manual/Automatic, 1197 cc, 80.46 bhp, 4 Star Safety"
198,Maruti Suzuki,Ertiga,Ertiga,2025,₹8.96 - 13.26 Lakh,Petrol/CNG,1462.0,MUV,5.0,Manual/Automatic,101.64 bhp,138 Nm,20.51 kmpl,3 Star,"Petrol/CNG, 20.51 kmpl, Manual/Automatic, 1462 cc, 101.64 bhp, 3 Star Safety"
199,Maruti Suzuki,FRONX,FRONX,2025,₹7.54 - 13.06 Lakh,Petrol/CNG,1197.0,SUV,5.0,Manual/Automatic,98.69 bhp,147 Nm,22.89 kmpl,5 Star,"Petrol/CNG, 22.89 kmpl, Manual/Automatic, 1197 cc, 98.69 bhp, 5 Seats"
200,Maruti Suzuki,Baleno,Baleno,2025,₹6.70 - 9.92 Lakh,Petrol/CNG,1197.0,Hatchback,5.0,Manual/Automatic,88.5 bhp,113 Nm,22.94 kmpl,5 Star,"Petrol/CNG, 22.94 kmpl, Manual/Automatic, 1197 cc, 88.5 bhp, 5 Seats"
201,Maruti Suzuki,Brezza,Brezza,2025,₹8.69 - 14.14 Lakh,Petrol/CNG,1462.0,SUV,5.0,Manual/Automatic,101.64 bhp,138 Nm,19.89 kmpl,4 Star,"Petrol/CNG, 19.89 kmpl, Manual/Automatic, 1462 cc, 101.64 bhp, 4 Star Safety"
202,Maruti Suzuki,Dzire,Dzire,2025,₹6.84 - 10.19 Lakh,Petrol/CNG,1197.0,Sedan,5.0,Manual/Automatic,80 bhp,113 Nm,25.71 kmpl,5 Star,"Petrol/CNG, 25.71 kmpl, Manual/Automatic, 1197 cc, 80 bhp, 5 Star Safety"
203,Maruti Suzuki,Wagon R,Wagon R,2025,₹5.79 - 7.62 Lakh,Petrol/CNG,1197.0,Hatchback,5.0,Manual/Automatic,88.5 bhp,113 Nm,25.19 kmpl,1 Star,"Petrol/CNG, 25.19 kmpl, Manual/Automatic, 1197 cc, 88.5 bhp, 1 Star Safety"
204,Maruti Suzuki,Grand Vitara,Grand Vitara,2025,₹11.42 - 20.68 Lakh,Petrol/CNG,1490.0,SUV,5.0,Manual/Automatic,101.64 bhp,136 Nm,27.97 kmpl,5 Star,"Petrol/CNG, 27.97 kmpl, Manual/Automatic, 1490 cc, 101.64 bhp, 5 Seats"
205,Maruti Suzuki,Alto K10,Alto K10,2025,₹4.23 - 6.21 Lakh,Petrol/CNG,998.0,Hatchback,5.0,Manual/Automatic,65.71 bhp,90 Nm,24.9 kmpl,2 Star,"Petrol/CNG, 24.9 kmpl, Manual/Automatic, 998 cc, 65.71 bhp, 2 Star Safety"
206,Maruti Suzuki,Jimny,Jimny,2025,₹12.76 - 14.96 Lakh,Petrol,1462.0,SUV,5.0,Manual/Automatic,103 bhp,130 Nm,16.94 kmpl,3 Star,"Petrol, 16.94 kmpl, Manual/Automatic, 1462 cc, 103 bhp, 3 Star Safety"
207,Maruti Suzuki,XL6,XL6,2025,₹11.84 - 14.99 Lakh,Petrol/CNG,1462.0,MUV,6.0,Manual/Automatic,101.64 bhp,138 Nm,20.97 kmpl,3 Star,"Petrol/CNG, 20.97 kmpl, Manual/Automatic, 1462 cc, 101.64 bhp, 3 Star Safety"
208,Maruti Suzuki,Celerio,Celerio,2025,₹5.64 - 7.37 Lakh,Petrol/CNG,998.0,Hatchback,5.0,Manual/Automatic,65.71 bhp,89 Nm,26.68 kmpl,5 Star,"Petrol/CNG, 26.68 kmpl, Manual/Automatic, 998 cc, 65.71 bhp, 5 Seats"
209,Maruti Suzuki,Ignis,Ignis,2025,₹5.85 - 8.12 Lakh,Petrol/CNG,1197.0,Hatchback,5.0,Manual/Automatic,81.8 bhp,113 Nm,20.89 kmpl,1 Star,"Petrol/CNG, 20.89 kmpl, Manual/Automatic, 1197 cc, 81.8 bhp, 1 Star Safety"
210,Maruti Suzuki,Eeco,Eeco,2025,₹5.70 - 6.96 Lakh,Petrol/CNG,1197.0,MUV,5.0,Manual,79.65 bhp,79.65 Nm,19.71 kmpl,,"Petrol/CNG, 19.71 kmpl, Manual, 1197 cc, 79.65 bhp, 5, 7 Seats"
211,Maruti Suzuki,S-Presso,S-Presso,2025,₹4.26 - 6.12 Lakh,Petrol/CNG,998.0,Hatchback,5.0,Manual/Automatic,65.71 bhp,90 Nm,25.3 kmpl,1 Star,"Petrol/CNG, 25.3 kmpl, Manual/Automatic, 998 cc, 65.71 bhp, 1 Star Safety"
212,Maruti Suzuki,Ciaz,Ciaz,2025,₹9.41 - 12.31 Lakh,Petrol,1462.0,Sedan,5.0,Manual/Automatic,103.25 bhp,138 Nm,20.65 kmpl,4 Star,"Petrol, 20.65 kmpl, Manual/Automatic, 1462 cc, 103.25 bhp, 4 Star Safety"
213,Maruti Suzuki,Invicto,Invicto,2025,₹25.51 - 29.22 Lakh,Petrol,1987.0,MUV,5.0,Automatic,150.19 bhp,200 Nm,23.24 kmpl,5 Star,"Petrol, 23.24 kmpl, Automatic, 1987 cc, 150.19 bhp, 5 Star Safety"
214,Maruti Suzuki,Dzire Tour S,Dzire Tour S,2025,₹6.82 - 7.77 Lakh,Petrol/CNG,1197.0,Sedan,5.0,Manual,76.43 bhp,113 Nm,26.06 kmpl,,"Petrol/CNG, 26.06 kmpl, Manual, 1197 cc, 76.43 bhp, N/A"
215,Maruti Suzuki,Ertiga Tour,Ertiga Tour,2025,₹10.03 - 10.98 Lakh,Petrol/CNG,1462.0,MUV,5.0,Manual,103.25 bhp,138 Nm,18.04 kmpl,3 Star,"Petrol/CNG, 18.04 kmpl, Manual, 1462 cc, 103.25 bhp, 3 Star Safety"
216,Maruti Suzuki,Alto Tour H1,Alto Tour H1,2025,₹4.97 - 5.87 Lakh,Petrol/CNG,998.0,Hatchback,5.0,Manual,67.58 bhp,67.58 Nm,24.39 kmpl,,"Petrol/CNG, 24.39 kmpl, Manual, 998 cc, 67.58 bhp, N/A"
217,Maruti Suzuki,Eeco Cargo,Eeco Cargo,2025,₹5.84 - 7.17 Lakh,Petrol/CNG,1197.0,MUV,2.0,Manual,79.65 bhp,79.65 Nm,20.2 kmpl,,"Petrol/CNG, 20.2 kmpl, Manual, 1197 cc, 79.65 bhp, 2 Star Safety"
218,Maruti Suzuki,Wagon R Tour,Wagon R Tour,2025,₹5.75 - 6.66 Lakh,Petrol/CNG,998.0,Hatchback,5.0,Manual,65.71 bhp,65.71 Nm,25.4 kmpl,1 Star,"Petrol/CNG, 25.4 kmpl, Manual, 998 cc, 65.71 bhp, 1 Star Safety"
219,Lotus,Eletre,Eletre,2025,₹2.55 - 2.99 Cr,Electric,,SUV,5.0,Automatic,603 bhp,,,,"Electric, Automatic, 600 km range, 112 kWh battery"
220,Lotus,Emira,Emira,2025,₹3.22 Cr,Petrol,1998.0,Coupe,,Manual/Automatic,400 bhp,,,,
221,Lotus,Emeya,Emeya,2025,₹2.34 Cr,Electric,,Sedan,5.0,Automatic,594.71 bhp,,,,"Electric, Automatic, 610 km range"
222,Honda,City,City,2025,₹12.38 - 16.65 Lakh,Petrol,1498.0,Sedan,5.0,Manual/Automatic,119.35 bhp,119.35 bhp,18.4 kmpl,4 Star,Facelift
223,Honda,Amaze,Amaze,2025,₹8.10 - 11.20 Lakh,Petrol,1199.0,Sedan,5.0,Manual/Automatic,89 bhp,89 bhp,19.46 kmpl,5 Star,
224,Honda,Elevate,Elevate,2025,₹11.91 - 16.83 Lakh,Petrol,1498.0,SUV,5.0,Manual/Automatic,119 bhp,119 bhp,16.92 kmpl,,Facelift
225,Honda,City Hybrid,City Hybrid,2025,₹19.90 Lakh,Hybrid,1498.0,Sedan,5.0,Automatic,96.55 bhp,96.55 bhp,27.13 kmpl,,
226,Honda,Amaze 2nd Gen,Amaze 2nd Gen,2025,₹7.20 - 9.96 Lakh,Petrol,1199.0,Sedan,5.0,Manual/Automatic,88.5 bhp,88.5 bhp,18.6 kmpl,2 Star,
227,Toyota,Fortuner,Fortuner,2025,₹36.05 - 52.34 Lakh,Diesel/Petrol,2755.0,SUV,5.0,Manual/Automatic,201.15 bhp,420 Nm,11 kmpl,5 Star,Facelift
228,Toyota,Innova Crysta,Innova Crysta,2025,₹19.99 - 27.08 Lakh,Diesel,2393.0,MUV,5.0,Manual,147.51 bhp,360 Nm,9 kmpl,5 Star,
229,Toyota,Urban Cruiser Hyryder,Urban Cruiser Hyryder,2025,₹11.34 - 19.99 Lakh,Petrol/CNG,1490.0,SUV,5.0,Manual/Automatic,101.64 bhp,136 Nm,27.97 kmpl,4 Star,
230,Toyota,Hilux,Hilux,2025,₹30.40 - 37.90 Lakh,Diesel,2755.0,Pickup Truck,5.0,Manual/Automatic,201.15 bhp,420 Nm,10 kmpl,5 Star,
231,Toyota,Land Cruiser 300,Land Cruiser 300,2025,₹2.31 - 2.41 Cr,Diesel/Petrol,3346.0,SUV,5.0,Automatic,304.41 bhp,650 Nm,11 kmpl,5 Star,Facelift
232,Toyota,Camry,Camry,2025,₹48.50 Lakh,Petrol,2487.0,Sedan,5.0,Automatic,227 bhp,221 Nm,25.49 kmpl,,
233,Toyota,Glanza,Glanza,2025,₹6.90 - 10 Lakh,Petrol/CNG,1197.0,Hatchback,5.0,Manual/Automatic,88.5 bhp,113 Nm,22.94 kmpl,,
234,Toyota,Innova Hycross,Innova Hycross,2025,₹19.14 - 32.58 Lakh,Petrol,1987.0,MUV,7.0,Automatic,183.72 bhp,187 Nm,23.24 kmpl,,
235,Toyota,Vellfire,Vellfire,2025,₹1.22 - 1.32 Cr,Petrol,2487.0,MUV,5.0,Automatic,190.42 bhp,356 Nm,16 kmpl,,
236,Toyota,Taisor,Taisor,2025,₹7.76 - 13.06 Lakh,Petrol/CNG,1197.0,Hatchback,5.0,Manual/Automatic,98.69 bhp,103 Nm,22.8 kmpl,,
237,Toyota,Rumion,Rumion,2025,₹10.66 - 13.96 Lakh,Petrol/CNG,1462.0,MUV,5.0,Manual/Automatic,101.64 bhp,136 Nm,20.51 kmpl,5 Star,
238,Toyota,Fortuner Legender,Fortuner Legender,2025,₹44.51 - 50.09 Lakh,Diesel,2755.0,SUV,5.0,Manual/Automatic,201.15 bhp,420 Nm,10.52 kmpl,5 Star,
